2581085985->2581715376 16.150899666666668-75.64742083333333
2581715376->2581715411 16.1510435-75.64741766666667
2581918210->2581918208 16.152135333333334-75.636024
2581918355->2581918359 16.1548275-75.63564483333333,16.154837333333333-75.63378416666667,16.1548305-75.6335085
2581918359->2581918365 16.15490266666667-75.63736516666667,16.154905333333332-75.63758383333334
2581918238->2581918212 16.152339-75.6387065
2581918043->2581918049 16.149324666666665-75.63984
2581085962->2581918051 16.149450166666668-75.64445816666667
2581085974->2581715321 16.149553333333333-75.65008683333333
2581816486->2581872951 16.1496575-75.65822916666667,16.149673333333332-75.65867466666667,16.149607-75.65786016666667
1151523043->1422071597 16.145447166666667-75.66842183333333
1151523274->2307604145 16.15669966666667-75.67624033333334
3663293115->3663293114 16.1561795-75.6751985
1151523274->3293467204 16.156739-75.67614483333334
1151523247->1151523274 16.157771-75.6768985
1151523274->1151523247 16.157753833333334-75.67690866666666
2581816502->2581816473 16.149497833333335-75.66665083333334
2581872989->2581872987 16.1497515-75.66559683333334
2581816490->2581816486 16.1496325-75.65928733333334
2581872951->2581816484 16.149580166666667-75.65638583333333
2581917996->2581715327 16.149537-75.653551
2581085969->2581085965 16.149446-75.64592
2581715418->2581918228 16.152320333333332-75.6441305
2581918226->2581918225 16.1523365-75.64255283333334
2581918225->2581918226 16.152320833333334-75.642516,16.152306833333334-75.64232
2581918222->2581918224 16.152299333333332-75.641793
2581918216->2581918220 16.152264833333334-75.64077283333333
2581918220->2581918216 16.152256166666668-75.640524,16.1522635-75.63980116666667
2581918212->2581918216 16.152229166666668-75.63887766666667
2581918208->2581918210 16.152209166666665-75.637876,16.152211166666667-75.63772933333334,16.152192333333332-75.637025,16.152170833333333-75.63618416666667
2581918359->2581918208 16.154702666666665-75.635683
2581918376->2581918355 16.154915666666668-75.632795,16.1572615-75.63270516666667
2581918355->2581918376 16.155331166666667-75.6327385
2581918399->2581918398 16.1602445-75.63581633333334
2581918398->2581918399 16.160276333333332-75.6366515,16.1603705-75.637806
2581918392->2581918399 16.160322-75.63845966666666
2581918409->3353758868 16.163024666666665-75.64126933333333
2581918409->3353758858 16.162775333333332-75.641341
2581918394->2581918401 16.159953333333334-75.6413895,16.159319-75.64152233333333
2581918394->3353758775 16.159192333333333-75.64162233333333
3353758775->3353758777 16.1592605-75.64206883333334,16.159214666666667-75.64235033333334
2581086121->2581086151 16.1677655-75.64709733333333
2581086273->2581559511 16.169040333333335-75.65692933333334
2307587793->2307589010 16.174405333333333-75.6581525
2307592980->9144425161 16.175092166666666-75.65464966666667
