2581715411->2581715428 16.152230833333334-75.64737883333333
2581715426->2581715428 16.152352333333333-75.64715466666667
2581715421->2581715423 16.152341333333332-75.64524416666667
2581715421->2581715420 16.152333666666667-75.644704
2581715420->2581715403 16.152335333333333-75.64462816666666,16.15224316666667-75.6445215
2581715402->2581715418 16.1523305-75.64450066666667
2581918225->2581918226 16.15231-75.643863
2581918210->2581918208 16.152171166666665-75.6377555
2581918208->2581918210 16.15214466666667-75.63669033333333,16.152238666666666-75.6358165
2581918355->2581918359 16.154825833333334-75.6343135,16.154813833333332-75.63409566666667,16.154872333333334-75.63492583333333,16.154808666666668-75.63291366666667
2581918376->2581918355 16.156703833333335-75.63269816666667
2581918376->2581918378 16.157501833333335-75.63355083333333
2581918359->2581918378 16.155002-75.63574333333334
2581918365->2581918359 16.15487583333333-75.63606133333333
2581918367->2581918329 16.154906333333333-75.63862116666667
2581918329->2581918238 16.15292-75.6386895
2581918125->2581918041 16.150265333333333-75.6387555
2581085965->2581085964 16.149459-75.64461033333333,16.149456666666666-75.64487766666667,16.149455833333334-75.6450625
2581085969->2581085965 16.149460333333334-75.645256,16.149468333333335-75.64568966666667,16.1494735-75.64590883333334,16.149491833333332-75.6461255,16.149504333333333-75.64695366666666,16.149510166666666-75.64717883333333,16.1494565-75.64745866666667,16.149456666666666-75.64658266666666,16.149456833333332-75.64637216666667
2581715322->2581085976 16.149514333333332-75.647389
2581918064->2581085969 16.14951616666667-75.64758733333333,16.1495235-75.648245,16.149522333333334-75.64868066666666,16.149532333333333-75.64885,16.149459166666666-75.64786716666667
2581085974->2581715321 16.149537833333333-75.64899833333334,16.1495515-75.6499075,16.149556333333333-75.65024816666667
2581715325->2581715324 16.149556333333333-75.65125683333333
2581918066->2581715325 16.1495645-75.65149766666667,16.149567666666666-75.65172083333333,16.149573333333333-75.65193933333333
2581715327->2581918066 16.149579166666665-75.6521745,16.149584333333333-75.65266266666667,16.1495915-75.65347033333333,16.149533-75.65313666666667
